SKU,Attribute_set_code,Name,Brand,Style_code,size,product_type,measuring_unit,price,shape_type,length_type,color,ideal_for,pattern,occasion,brand_color,fabric,pack_of,neck_type,sleeve_length,suitable_for,fabric_care,model_name,pockets,description,search_title,type
KK0005-M,Default,Navy Blue Yarn Dyed Gathered Women's Kurti,Kiaasa,KK0005,M,simple,Regular,1699,Gathered,Knee Length,Blue,Women's,Yarn Dyed,Casual,Navy Blue,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Look smart in this contemporary front open kurta with detailed sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0005-S,Default,Navy Blue Yarn Dyed Gathered Women's Kurti,Kiaasa,KK0005,S,simple,Regular,1699,Gathered,Knee Length,Blue,Women's,Yarn Dyed,Casual,Navy Blue,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Look smart in this contemporary front open kurta with detailed sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0005-XL,Default,Navy Blue Yarn Dyed Gathered Women's Kurti,Kiaasa,KK0005,XL,simple,Regular,1699,Gathered,Knee Length,Blue,Women's,Yarn Dyed,Casual,Navy Blue,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Look smart in this contemporary front open kurta with detailed sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0005-XS,Default,Navy Blue Yarn Dyed Gathered Women's Kurti,Kiaasa,KK0005,XS,simple,Regular,1699,Gathered,Knee Length,Blue,Women's,Yarn Dyed,Casual,Navy Blue,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Look smart in this contemporary front open kurta with detailed sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0005-XXL,Default,Navy Blue Yarn Dyed Gathered Women's Kurti,Kiaasa,KK0005,XXL,simple,Regular,1699,Gathered,Knee Length,Blue,Women's,Yarn Dyed,Casual,Navy Blue,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Look smart in this contemporary front open kurta with detailed sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0006-L,Default,Pink Plain A-line Women's Kurti,Kiaasa,KK0006,L,simple,Regular,2899,A-line,Calf Length,Pink,Women's,Plain,Casual,Pink,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A perfect for summer, A-Line ,Asymmetric embroidered kurta with Detalings on sleeves and neck.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0006-M,Default,Pink Plain A-line Women's Kurti,Kiaasa,KK0006,M,simple,Regular,2899,A-line,Calf Length,Pink,Women's,Plain,Casual,Pink,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A perfect for summer, A-Line ,Asymmetric embroidered kurta with Detalings on sleeves and neck.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0006-S,Default,Pink Plain A-line Women's Kurti,Kiaasa,KK0006,S,simple,Regular,2899,A-line,Calf Length,Pink,Women's,Plain,Casual,Pink,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A perfect for summer, A-Line ,Asymmetric embroidered kurta with Detalings on sleeves and neck.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0006-XL,Default,Pink Plain A-line Women's Kurti,Kiaasa,KK0006,XL,simple,Regular,2899,A-line,Calf Length,Pink,Women's,Plain,Casual,Pink,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A perfect for summer, A-Line ,Asymmetric embroidered kurta with Detalings on sleeves and neck.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0006-XXL,Default,Pink Plain A-line Women's Kurti,Kiaasa,KK0006,XXL,simple,Regular,2899,A-line,Calf Length,Pink,Women's,Plain,Casual,Pink,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A perfect for summer, A-Line ,Asymmetric embroidered kurta with Detalings on sleeves and neck.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
